Source,Target
466411,336843
500475,4771
500475,8012
500475,398181
500475,38842
500475,17494
489931,75656
489931,269795
489931,37797
489931,5143
489931,912
460071,396371
460071,332283
460071,769
460071,640
460071,399404
228150,369885
228150,1771
228150,857
228150,424
49026,155
49026,272
49026,209112
49026,44912
49026,263115
440472,10098
440472,404245
449459,197
449459,627
449459,399402
449459,180863
449459,428399
194662,98566
194662,14
194662,155
194662,272
194662,49026
451915,769
451915,334543
451915,443009
451915,363676
150689,809
150689,10882
150689,2312
150689,11224
150689,808
286217,568
286217,157336
286217,95
286217,101299
286217,336843
472734,10545
472734,9880
472734,8966
472734,222935
472734,454983
11324,392044
11324,336843
11324,75780
11324,181283
11324,101299
119450,63
119450,61791
119450,76341
119450,157336
119450,6479
329865,126889
329865,828
329865,384521
329865,157336
329865,348
406997,1265
406997,73
406997,442062
406997,400928
406997,346364
68718,272
68718,862
68718,400535
68718,281957
168259,345887
168259,281957
168259,156022
168259,395834
168259,10483
244786,769
244786,74997
244786,398181
244786,281957
244786,381288
273248,253412
273248,120
273248,44115
273248,9350
273248,978
438145,281957
438145,345887
438145,311
438145,101
438145,68718
1124,675
1124,1491
1124,75656
1124,291805
455980,460019
455980,9476
455980,353486
455980,390043
455980,254470
216015,8966
216015,466282
216015,12689
216015,43923
216015,9813
313369,525
313369,10947
313369,10545
313369,2976
313369,705
468362,10661
468362,691
468362,460868
468362,564
468362,85
537996,9394
537996,995
537996,872
537996,14128
537996,9086
242582,9654
242582,218
242582,64690
242582,396371
242582,449443
16869,857
16869,424
16869,369885
16869,637
16869,2503
443009,389015
443009,363676
443009,324786
391713,398818
391713,426613
391713,376867
391713,84892
391713,376660
295011,72190
295011,336843
295011,747
295011,19908
295011,170
486947,11001
486947,6933
486947,1256
486947,21240
486947,893
503346,9555
503346,8810
503346,602
503346,47933
503346,137113
359940,398181
359940,395834
359940,345887
359940,281957
49047,157336
49047,2067
49047,62
49047,395992
49047,286217
412862,371608
412862,39874
412862,10781
412862,1359
412862,948
429351,281957
429351,193756
429351,8966
429351,222935
429351,499963
381284,487558
381284,369972
381284,50014
381284,769
381284,10734
18239,50619
18239,36648
18239,49017
350,65754
350,10545
350,2503
350,2501
350,9880
106646,4771
106646,400535
106646,308266
106646,261023
106646,12143
361292,561
361292,396422
361292,439079
361292,44214
361292,259693
205596,449176
205596,184352
205596,424
205596,423
476292,378064
476292,34433
476292,297762
476292,39101
476292,39108
254128,11123
254128,479475
254128,8656
254128,14161
254128,1538
38,1903
38,261470
38,521
38,50544
281338,101299
281338,131631
281338,262500
281338,336843
281338,262504
470229,3597
470229,1949
470229,500664
470229,238636
470229,281957
458737,359940
458737,458594
458737,324786
458737,332562
458737,9552
396371,413362
396371,242
396371,1538
396371,640
396371,389015
395834,281957
395834,345887
395834,75780
395834,261023
395834,359412
395841,357096
395841,75780
395841,4771
395841,392044
392044,4176
392044,75780
392044,60670
392044,281957
392044,372343
273481,345887
273481,979
273481,4771
273481,479
273481,956
6977,4836
6977,101
6977,189
6977,949
6977,59967
152601,604
152601,605
152601,500664
152601,335984
152601,2048
448776,10734
448776,769
448776,107846
448776,5925
448776,278
470894,155
470894,272
470894,9738
470894,1924
470894,1452
6479,604
6479,605
6479,534
6479,87101
6479,157350
419743,449176
419743,184352
419743,26280
419743,258034
419743,382475
324786,227306
324786,616
324786,9509
324786,769
264660,438590
264660,62
264660,9738
264660,2048
264660,82693
372058,8392
372058,34433
372058,39101
372058,39108
372058,39107
425972,8810
425972,405774
425972,76341
425972,297762
425972,443463
1422,37645
1422,96
1422,1266
1422,4771
1422,10651
453201,8966
453201,2501
453201,350
453201,10545
453201,2503
346672,12437
346672,24
346672,7131
346672,8966
346672,18239
72190,336843
72190,294254
72190,82654
72190,74
72190,131631
401905,101299
401905,198663
401905,157350
401905,2048
401905,131631
281957,294963
281957,185
339103,769
339103,261023
339103,156022
339103,396371
339103,28110
459910,627
459910,2034
459910,253
459910,438808
459910,13815
341174,84892
341174,22705
341174,101299
341174,336843
341174,769
499963,281957
499963,392044
499963,4348
499963,101299
499963,336843
429191,332562
429191,152532
429191,226
429191,13403
429191,546
77338,489
77338,862
77338,68718
77338,72105
77338,19913
222935,10229
222935,308369
222935,9880
222935,449176
222935,286565
400617,399057
400617,277216
400617,1367
400617,1597
400617,170
481117,369192
481117,769
481117,168672
481117,396371
481117,339103
406990,75780
406990,949
406990,782
406990,2275
406990,4771
464502,74997
464502,458594
464502,281957
464502,10781
464502,357096
278927,9325
278927,9502
278927,346648
278927,116149
312221,9991
312221,307081
312221,319888
312221,22881
312221,9291
399404,424
399404,746
399404,637
399404,228150
399404,324786
50620,24021
50620,18239
50620,49017
50620,50619
50620,36648
376867,511785
376867,26280
376867,258480
376867,14
147441,381284
147441,487558
147441,9837
147441,414425
147441,50014
49017,36647
49017,228150
49017,400155
49017,7131
49017,12437
400579,433
400579,303991
400579,277216
400579,425
400579,111
315837,782
315837,603
315837,605
315837,1571
315837,500664
395991,49017
395991,228150
395991,122
395991,707
395991,2924
335797,260514
335797,9836
335797,9598
335797,9447
335797,258509
398818,26371
398818,376867
398818,424694
398818,84892
437586,449176
437586,376660
437586,10229
437586,8363
437586,11887
220882,198663
220882,157350
220882,78
220882,336843
220882,131631
24021,50619
24021,18239
24021,8966
24021,49017
505192,20352
505192,10545
505192,12405
505192,37135
505192,150689
332567,578
332567,135397
332567,345940
332567,579
332567,44115
168672,769
168672,1422
168672,156022
168672,339103
318846,769
318846,640
318846,399404
318846,334543
318846,316029
112160,53932
112160,14
112160,449176
112160,17130
112160,86331
2503,2501
2503,2502
2503,4771
2503,156022
2503,400535
17979,13188
17979,8871
17979,9479
17979,1585
17979,11395
61791,63
61791,76341
61791,6479
61791,563
120467,311
120467,539
120467,97630
120467,340613
120467,132344
11130,400617
11130,3933
11130,521
11130,82695
11130,50546
64682,27066
64682,1259
64682,8966
64682,9880
440298,13
440298,24420
440298,272693
440298,1903
440298,1259
419478,627
419478,463053
419478,62211
419478,353616
419478,254470
389015,769
389015,640
389015,399404
395990,4771
395990,64689
395990,395841
395990,562
395990,1572
429417,416234
429417,2655
429417,110415
429417,452507
429417,91586
44214,574
44214,1124
44214,949
44214,82693
44214,244786
68734,424694
68734,425336
68734,266856
68734,152532
68734,300671
82693,286565
82693,272693
82693,8966
82693,510
82693,9880
122906,13
122906,433
122906,118
122906,141
122906,35
401469,388
401469,949
401469,339403
401469,531593
401469,298
154400,324542
154400,949
154400,769
154400,156022
154400,241554
11036,1366
11036,1246
11036,7555
11036,11232
11036,688
296096,8966
296096,466282
296096,43923
296096,9880
296096,50619
561362,9813
561362,281957
561362,370663
561362,634
561362,11631
274857,19957
274857,762
274857,18937
274857,6520
274857,616
76203,8619
76203,339408
76203,19067
76203,407806
76203,468210
652,10693
652,188207
652,57165
652,18823
652,10323
340674,340613
340674,340666
340674,34584
340674,132344
340674,51828
395992,2067
395992,157336
395992,126889
395992,286217
395992,8077
446354,460868
446354,891
446354,769
446354,316029
446354,443009
500919,984
500919,15069
500919,807
500919,75780
500919,96
475094,857
475094,334522
475094,369885
475094,853
475094,5925
460868,334543
460868,402897
460868,424
460868,769
460868,640
398181,8012
398181,769
398181,281957
398181,169917
398181,4771
363676,2567
363676,87502
363676,568
363676,396371
283366,1452
283366,8536
283366,9738
283366,49521
283366,141052
414191,15021
414191,519247
414191,428449
414191,565
414191,10331
314365,205587
314365,376867
314365,396371
314365,446354
314365,9800
2502,2501
2502,562
2502,769
2502,156022
449176,376867
449176,398818
449176,26280
449176,10229
449176,152584
12405,9325
12405,11450
12405,20529
12405,283709
12405,283565
339380,424694
339380,370663
339380,5915
339380,467952
339380,152532
83542,604
83542,605
83542,500664
83542,335984
83542,76341
37799,65754
37799,201088
37799,446807
37799,15472
37799,33613
379149,281957
379149,345887
379149,238636
379149,4836
379149,49021
1402,451915
1402,310307
1402,8916
1402,10139
1402,2539
433498,424
433498,769
433498,334543
433498,487558
433498,451915
399170,520360
399170,949
399170,339403
399170,9654
399170,298
58595,408
58595,385448
58595,411
58595,129
205587,396371
205587,389
205587,1645
205587,413362
554600,201088
554600,56292
554600,49026
554600,36955
554600,267860
381289,101299
381289,336843
381289,281957
381289,8966
381289,9880
462919,64255
462919,429417
462919,621
462919,2976
462919,224141
68724,604
68724,605
68724,2048
68724,335984
68724,500664
176147,370663
176147,258480
176147,10818
176147,426613
176147,52371
489925,376660
489925,9779
489925,411741
489925,12689
489925,33217
381283,769
381283,424121
381283,339692
381283,371608
381283,398181
290595,767
290595,808
290595,809
290595,58595
290595,37430
454652,363676
454652,487558
454652,443009
454652,451915
454652,10161
400928,52449
400928,8841
400928,8618
400928,10830
400928,437670
307081,9991
307081,396371
307081,70
307081,22881
385332,101
385332,345887
385332,281957
385332,311
385332,77
64690,341006
64690,769
64690,1991
64690,398175
64690,294963
339988,157353
339988,296
339988,62
339988,264660
339988,328387
493006,39101
493006,39108
493006,39107
493006,378064
493006,28609
303991,14
303991,194662
303991,370663
303991,429200
7840,425
7840,49519
7840,950
7840,278154
7840,387592
340666,340613
340666,222935
340666,8966
340666,2501
340666,185
489927,400928
489927,1427
489927,11393
489927,9428
489927,334
4982,272
4982,769
4982,2034
4982,138832
4982,4836
302946,1538
302946,629
302946,136795
302946,59967
302946,400579
65754,60670
65754,1949
65754,392044
65754,395834
1491,812
1491,155
1491,272
1491,1924
1491,1452
489929,812
489929,2034
489929,49013
489929,50620
489929,76492
146233,37645
146233,345887
146233,4771
146233,984
146233,11423
109424,58
109424,1865
109424,166426
109424,156022
109424,298250
388,228150
388,1771
388,275
388,531593
388,637
351044,11551
351044,250546
351044,11186
351044,11187
351044,11249
419831,1927
419831,408220
419831,155
419831,272
419831,49026
417261,194662
417261,396371
417261,395990
417261,307081
417261,489999
536176,419546
536176,551095
536176,397403
536176,422261
536176,511457
62764,58595
62764,408
62764,290595
62764,60304
62764,32593
39254,2048
39254,376867
39254,604
39254,605
39254,9991
274870,126889
274870,157336
274870,348
274870,8077
274870,286217
384680,396373
384680,395834
384680,581
384680,281957
384680,8584
124905,373571
124905,7191
124905,1682
124905,19545
124905,315011
137094,954
137094,691
137094,146216
137094,4771
137094,2503
9509,275
9509,345887
9509,273481
9509,27576
171274,769
171274,10734
171274,1949
171274,9880
171274,8966
520360,500
520360,949
520360,574
520360,339403
520360,747
414001,253
414001,646
414001,657
414001,658
414001,691
339692,4771
339692,345887
339692,2749
339692,979
339692,868
1949,12150
1949,16995
1949,984
1949,275
1949,311
345920,334541
345920,238636
345920,473149
345920,769
345920,339692
334522,424
334522,637
334522,227306
334522,228150
334522,613
440161,682
440161,8966
440161,9880
440161,429
440161,510
87827,700
87827,10527
87827,9836
87827,205775
87827,15927
435577,424
435577,334522
435577,369885
435577,5925
435577,8966
20662,375588
20662,9562
20662,9476
20662,23047
20662,11469
525554,96
525554,75780
525554,1266
525554,4771
525554,984
530154,138100
530154,429417
530154,537996
530154,390329
530154,14128
19913,50544
19913,489
19913,38
19913,862
19913,398818
244761,275
244761,345887
244761,562
244761,311
244761,1571
426613,449176
426613,84892
426613,10818
426613,376867
426613,370663
296524,5919
296524,568
296524,7191
296524,11228
296524,400535
1538,156022
1538,136795
1538,562
1538,90
1538,9401
369523,273153
369523,9813
369523,426613
369523,376867
369523,370663
787,249070
787,2501
787,253
787,101
787,956
334541,428449
334541,493922
334541,303991
334541,399057
227306,424
227306,826
227306,423
394117,376867
394117,17130
394117,13
394117,627
394117,1375
418078,395834
418078,281957
418078,321258
418078,44214
418078,119450
1495,38543
1495,26175
1495,10786
1495,39382
1495,285096
370663,513
370663,449176
370663,52371
370663,258480
28178,13
28178,489
28178,862
28178,19913
28178,68718
399057,956
399057,146233
399057,345887
399057,458594
399057,37645
13374,449176
13374,18126
13374,14069
13374,489
13374,73
306819,449176
306819,84892
306819,59436
306819,179144
306819,8966
72570,1903
72570,2501
72570,458594
72570,346685
72570,77
116745,578
116745,492336
116745,403119
116745,579
116745,8914
96721,9991
96721,369192
96721,22881
96721,9291
96721,11393
371638,8966
371638,769
371638,9880
371638,433498
371638,454983
84892,449176
84892,376867
84892,308369
296098,27576
296098,954
296098,691
296098,1374
296098,1247
207932,392044
207932,281957
207932,4771
207932,445954
207932,769
446791,345887
446791,4771
446791,74997
446791,275
446791,769
1417,11224
1417,566810
1417,10882
1417,808
1417,809
45269,858
45269,1165
45269,38050
45269,838
45269,801
110415,185
110415,280
110415,281957
110415,8810
110415,6479
18240,9813
18240,35
18240,11631
18240,437557
18240,634
241554,10651
241554,345887
241554,281957
241554,12150
241554,979
2567,769
2567,640
2567,399404
2567,334543
254320,782
254320,22970
254320,119450
254320,406761
254320,101299
416194,14161
416194,254128
416194,475210
416194,76649
416194,11123
9693,604
9693,605
9693,101299
9693,76341
9693,20504
483184,345887
483184,357096
483184,458594
483184,281957
483184,74997
393519,449176
393519,26280
393519,10938
393519,184352
393519,376867
82695,3933
82695,3131
82695,1894
82695,16563
82695,342473
86834,14161
86834,615
86834,310
86834,274855
86834,335778
44826,2268
44826,8966
44826,9880
44826,10140
44826,12155
1427,979
1427,10029
1427,345887
1427,379149
1427,448095
507419,429203
507419,500919
507419,1969
507419,416160
507419,339403
561,408220
561,155
561,272
561,1487
561,49026
491584,8643
491584,263471
491584,407874
491584,123997
491584,268373
372343,281957
372343,4771
372343,381034
372343,60670
15472,65754
15472,315837
15472,397837
15472,131631
15472,101299
76726,376660
76726,449176
76726,10229
76726,286565
443463,8966
443463,398181
443463,414425
443463,249164
443463,466282
429200,769
429200,339692
429200,398181
429200,169917
429200,398175
347984,646
347984,657
347984,708
347984,667
347984,699
365942,449176
365942,101299
365942,157350
365942,333339
365942,157336
13223,311
13223,345887
13223,245891
13223,277216
13223,53932
295964,2062
295964,627
295964,6283
295964,399402
295964,212778
418827,53932
418827,345
418827,10068
418827,28468
418827,405817
169917,4771
169917,769
169917,8012
169917,37645
4922,458594
4922,956
4922,510
4922,458737
4922,334541
395458,1359
395458,747
395458,627
395458,419430
395458,402897
429195,322
429195,7443
429195,533
429195,9427
429195,11929
70,1371
70,1374
70,1375
70,1367
70,396371
333371,275
333371,146233
333371,345887
333371,562
333371,1571
8456,391757
8456,345887
8456,11713
8456,9913
8456,445954
396461,949
396461,627
396461,396371
396461,617
396461,22705
290098,52371
290098,370663
290098,22705
290098,258480
290098,71672
378064,376660
378064,449176
378064,76726
378064,10229
378064,286565
193756,336843
193756,281957
193756,424
193756,467952
45317,481117
45317,1578
45317,396371
45317,9991
45317,227306
502682,451480
502682,5951
502682,448514
502682,125255
17431,157336
17431,604
17431,605
17431,500664
17431,335984
258216,22705
258216,249397
258216,112160
258216,53932
258216,4247
65057,1597
65057,11846
65057,12634
65057,352501
65057,3309
346685,2501
346685,64682
346685,2503
346685,2502
346685,77
301337,604
301337,605
301337,335984
301337,500664
301337,9381
264644,198663
264644,398181
264644,336843
264644,294254
264644,562
9762,634
9762,433
9762,11631
9762,297762
9762,437557
550958,370663
550958,258480
550958,10818
550958,426613
550958,273153
20069,1024
20069,19913
20069,24420
20069,1259
20069,86331
310307,371638
310307,402897
310307,769
310307,424
310307,316029
5915,769
5915,316029
5915,443009
5915,396371
5915,399404
1164,2024
1164,95
1164,142
1164,907
1164,503
27022,808
27022,566810
27022,34584
27022,10140
27022,10191
253412,9350
253412,281957
253412,399402
253412,290512
253412,44115
512412,10734
512412,278
512412,107846
512412,500
512412,161
425336,769
425336,487558
425336,334543
425336,451915
425336,424
254,244
254,58
254,329
254,497
254,135397
467952,449176
467952,424
467952,205596
467952,227306
467952,424694
266856,363676
266856,487558
266856,443009
266856,451915
266856,769
10947,11887
10947,13649
10947,74018
10947,4951
75780,4771
75780,357096
75780,11423
75780,37645
152532,9800
152532,502220
152532,106646
152532,205596
290512,281957
290512,101299
290512,336843
290512,8966
